DTL_ADRES,XCORD,LO,CHCK_MATTER_WKEND_HDAY_OPN_AT,WKEND_HDAY_OPER_BEGIN_TIME,MODF_TIME,ARCD,WKDAY_OPER_BEGIN_TIME,YEAR,USE_PSBL_NMPR,CHCK_MATTER_NIGHT_OPN_AT,RSTR_NM,WKEND_HDAY_OPER_END_TIME,CHCK_MATTER_STAYNG_PSBL_AT,MNGDPT_CD,COLR_HOLD_ARCNDTN,OPER_END_DE,RN_DTL_ADRES,OPER_BEGIN_DE,FCLTY_OPRN_AT,INPT_TIME,DTL_POSITION,WKDAY_OPER_END_TIME,FCLTY_SCLAS,COLR_HOLD_ELEFN,AR,YCORD,USE_AT,LA,RSTR_FCLTY_NO,RM,FCLTY_TY
"299-3",934025.201498,126.7537335,"N",,"2025-05-11 15:17:34.000","4119459000","0900","2025",5,"N","부천시흥원예농협송내역지점",,"N","3860750",2,"20240930","경기도 부천시 소사구 송내대로 34 (송내동)","20240805","Y","2024-08-08 14:53:33.000",,"1600","001",0,30,1943305.062161,"Y",37.486635,4119401150,,"004"
"394-2",,126.7542189,"N",,"2025-05-07 19:55:52.000","4119268000","0900","2025",15,"N","부천시립동화도서관",,"N","3860750",8,"20240930","경기도 부천시 원미구 장말로 107 (상동)","20240805","Y","2024-08-08 11:32:22.000",,"1800","002",0,513,,"Y",37.4947796,4119201157,,"001"
"800",894175.758239,126.299538,,,"2024-04-02 13:44:50.000","2871041000",,"2025",10,,"석모3리마을회관정자",,,"3570141",,,"인천광역시 강화군 삼산면 삼산남로1161번길 56-1 ",,"Y","2021-05-22 10:16:00.000","석모3리 마을회관 정자",,"002",,12,1967627.139055,"Y",37.702108,2871000268,,"002"
"403-0",931987.199306,126.7304492,,,"2025-05-02 11:07:40.000","2823764200","1800","2025",8,,"굴포누리기후변화체험관쉼터",,,"3540165",0,,"인천광역시 부평구 장제로 267",,"Y","2021-01-31 17:12:04.000","체험관 정문 앞 다목적 광장","2400","002",0,50,1945830.34357,"Y",37.5092471,2823801,,"002"
"386-0",933159.510047,126.7435691,,,"2025-05-02 11:17:00.000","2823764600","1800","2025",300,,"후정공원",,,"3540080",0,,"인천광역시 부평구 영성서로 58",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,22208,1947407.0063,"Y",37.5235431,2823802,,"002"
"600-9",,126.735083,"N",,"2024-07-24 13:56:14.000","2820069000","0900","2025",50,"N","푸르내마을경로당",,"N","3530199",1,"20230930","인천광역시 남동구 포구로 98","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",3,180,,"Y",37.406987,28200170,,"003"
"602-1",,126.732812,"N","1000","2024-07-24 13:56:14.000","2820069000","1000","2025",45,"N","단풍마을경로당","1700","N","3530199",2,"20230930","인천광역시 남동구 소래역로 94","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",2,129.34,,"Y",37.40551,28200171,,"003"
"278-1",,126.6109024,"N","0900","2025-04-30 15:25:24.000","4157025000","1300","2025",34,"N","귀전1리경로당","1800","N","4090449",1,"20230930","경기도 김포시 통진읍 귀전로 116","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",0,111,,"Y",37.7201941,41570034,,"003"
"779-4",,126.6136,"N","0900","2025-04-30 14:54:34.000","4157025000","1300","2025",26,"N","도사3리경로당","1800","N","4090449",1,"20230930","경기도 김포시 통진읍흥신로254번길 10-52","20230520","Y","2021-03-09 15:48:45.000",,"1700","001",3,84.4,,"Y",37.6803,41570035,,"003"
"587-5",929911.431105,126.7073421,,,"2025-05-02 11:23:08.000","2823769000","1800","2025",50,,"약산놀이공원",,,"3540042",0,,"인천광역시 부평구 동암산로33번길 6-16",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,1648.9,1941864.6676,"Y",37.4733499,2823809,,"002"
"629-1 도림주공그린빌1단지아파트",,126.731791,"N","1300","2024-07-24 13:56:14.000","2820066000","1300","2025",36,"N","도림주공아파트1단지경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 논고개로334번길 17 (도림동, 도림주공그린빌1단지아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,99,,"Y",37.420014,28200165,,"003"
"630-1 도림주공그린빌2단지아파트",,126.7292659,"N","1300","2024-07-24 13:56:14.000","2820066000","1300","2025",33,"N","도림주공아파트2단지경로당","1700","N","3530199",1,"20230930","인천광역시 남동구 오봉로 33 (도림동, 도림주공그린빌2단지아파트)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,77,,"Y",37.4177327,28200166,,"003"
"651-2",931964.014031,126.7310795,"N","1300","2024-08-02 10:54:21.000","2820066000","1300","2025",25,,"도림아이파크경로당","1700",,"3530199",1,"20230930","인천광역시 남동구 도리미로 8 (도림동, 도림 아이파크)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,116,1936165.624045,"Y",37.4221382,28200167,,"003"
"654-2 벽산블루밍",,126.728234,"N","1300","2024-07-24 13:56:14.000","2820066000","1300","2025",30,"N","도림벽산블루밍아파트","1700","N","3530199",1,"20230930","인천광역시 남동구 도림로 8 (도림동, 벽산블루밍)","20230520","Y","2021-03-08 09:03:04.000",,"1700","001",1,113,,"Y",37.420579,28200168,,"003"
"354-1",,126.7152252,"N",,"2024-07-24 13:56:14.000","2820066000","0900","2025",30,"N","남촌도림동행정복지센터",,"N","3530199",1,"20230930","인천광역시 남동구 남촌동로 32 (남촌동)","20230520","Y","2021-03-08 09:03:04.000",,"1800","001",0,2543,,"Y",37.43225,28200169,,"001"
"261-1",929956.009969,126.7075579,,,"2025-05-02 11:01:25.000","2823758000","1800","2025",300,,"마장공원",,,"3540029",0,,"인천광역시 부평구 마장로264번길 84 (산곡동)",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,15020,1944893.915959,"Y",37.5006554,2823796,,"002"
"58-3",929372.294059,126.7008128,,,"2025-05-02 11:03:21.000","2823759100","1800","2025",261,,"뫼골문화공원",,,"3540032",0,,"인천광역시 부평구 세월천로 82",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,8599,1946369.286815,"Y",37.5139081,2823798,,"002"
"166-1",931468.890851,126.7244864,,,"2025-05-02 11:04:18.000","2823764100","1800","2025",92,,"갈산공원",,,"3540034",0,,"인천광역시 부평구 부평대로296번길 69-17",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,3042,1946888.570535,"Y",37.5187464,2823799,"추가 관리자 : 갈산1동 자율방재단 동대표, 부동대표","002"
"443-1",932532.650792,126.7365821,,,"2025-05-02 11:17:50.000","2823764800","1800","2025",300,,"시냇물공원",,,"3540081",0,,"인천광역시 부평구 충선로 262 (삼산동)",,"Y","2021-01-31 17:12:04.000",,"2400","001",0,20353,1946247.206198,"Y",37.5130443,2823803,"추가 관리자 : 삼산2동 자율방재단 동대표, 부동대표","002"
